date,city,hour,day_of_week,month,is_weekend,is_peak,weather_score,temperature,humidity,vehicles_count,congestion_level,avg_speed,co2_emissions
2024-09-27,delhi,18,4,9,0,1,0.81,23.19582556384328,46.40928714703873,55283,87,14.6,10942.26
2024-09-27,delhi,19,4,9,0,1,0.787,19.822963525105923,70.18954652295406,70832,79,17.4,15747.84
2024-09-27,delhi,20,4,9,0,1,0.679,39.54552450917295,41.33161883625334,57698,90,13.5,11921.01
2024-09-27,delhi,21,4,9,0,0,0.779,31.188354281926898,58.528088902102624,20487,48,28.2,4862.39
2024-09-27,delhi,22,4,9,0,0,0.838,18.939333229689577,57.774478846275215,23945,25,36.2,5473.18
2024-09-27,delhi,23,4,9,0,0,0.619,37.85378377176522,58.81119221843185,17666,55,25.8,3976.86
2024-09-27,mumbai,0,4,9,0,0,0.855,15.960993515241872,62.94487806280221,12661,34,33.1,2488.36
2024-09-27,mumbai,1,4,9,0,0,0.595,21.300386779511975,86.77313675641257,20398,36,32.4,4673.36
2024-09-27,mumbai,2,4,9,0,0,0.642,39.64638098699159,50.07755454944922,18106,69,20.9,3545.94
2024-09-27,mumbai,3,4,9,0,0,0.625,38.98661088036333,60.99849663214253,15435,30,34.5,3417.29
2024-09-27,mumbai,4,4,9,0,0,0.659,38.89699352824107,44.8829575114993,18718,35,32.8,4514.02
2024-09-27,mumbai,5,4,9,0,0,0.815,31.24781891100249,61.18174831504078,19950,55,25.8,3395.94
2024-09-27,mumbai,6,4,9,0,0,0.988,19.95948790442893,52.251577039743424,17680,25,36.2,3639.23
2024-09-27,mumbai,7,4,9,0,0,0.703,34.60603821353276,39.25230371537182,13475,34,33.1,3022.32
2024-09-27,mumbai,8,4,9,0,1,0.607,25.687759265714902,41.24525719777006,56011,91,13.2,10203.82
2024-09-27,mumbai,9,4,9,0,1,0.751,33.87956910428625,57.48609926259583,70535,87,14.6,17344.81
2024-09-27,mumbai,10,4,9,0,1,0.884,16.399795737596182,65.97435455786993,50697,95,11.8,8495.84
2024-09-27,mumbai,11,4,9,0,0,0.972,21.89624566583657,74.98097517163725,19079,25,36.2,4473.54
2024-09-27,mumbai,12,4,9,0,0,0.867,22.230955169443764,77.99454866916882,19688,60,24.0,4089.84
2024-09-27,mumbai,13,4,9,0,0,0.533,18.000565223645616,31.009993839934506,13578,35,32.8,2096.89
2024-09-27,mumbai,14,4,9,0,0,0.512,38.68461086166553,66.55791039403475,20379,54,26.1,3773.99
2024-09-27,mumbai,15,4,9,0,0,0.582,38.70849309077845,86.34030408854434,16918,34,33.1,3613.61
2024-09-27,mumbai,16,4,9,0,0,0.524,15.355221506534967,44.01287714059414,15612,51,27.2,3594.69
2024-09-27,mumbai,17,4,9,0,0,0.754,25.062035660166813,30.269942600599204,14857,65,22.2,2997.5
2024-09-27,mumbai,18,4,9,0,1,0.898,23.915720643760025,86.99006448105247,57036,85,15.3,11942.75
2024-09-27,mumbai,19,4,9,0,1,0.919,22.908085908897668,85.46409664067642,66639,93,12.5,10194.18
2024-09-27,mumbai,20,4,9,0,1,0.909,21.30333415638826,82.8875094643792,65740,80,17.0,10096.55
2024-09-27,mumbai,21,4,9,0,1,0.935,26.247992501667408,54.87476178964887,61213,79,17.4,12943.97
2024-09-27,mumbai,22,4,9,0,0,0.833,39.667226403517084,51.13384665950943,14826,40,31.0,3441.78
2024-09-27,mumbai,23,4,9,0,0,0.549,16.754169551301622,44.02332010570973,18295,43,30.0,4093.62
2024-09-27,hyderabad,0,4,9,0,0,0.888,37.222863347925795,57.169636854550305,9870,45,29.2,1742.19
2024-09-27,hyderabad,1,4,9,0,0,0.714,35.162735814742774,86.39245720027446,11607,62,23.3,2181.98
2024-09-27,hyderabad,2,4,9,0,0,0.993,39.336781775270666,86.16190126125258,10990,62,23.3,1935.85
2024-09-27,hyderabad,3,4,9,0,0,0.858,21.81429716086143,30.526012959599143,8773,64,22.6,1797.43
2024-09-27,hyderabad,4,4,9,0,0,0.824,25.57298053894599,37.81066243723244,11735,56,25.4,2473.09
2024-09-27,hyderabad,5,4,9,0,0,0.626,23.75705865716526,85.98731795586997,9488,35,32.8,2335.75
2024-09-27,hyderabad,6,4,9,0,0,0.648,36.92169589123476,80.69185870787229,7822,66,21.9,1388.6
2024-09-27,hyderabad,7,4,9,0,0,0.88,23.526761688974407,84.14395005995948,7303,33,33.5,1768.04
2024-09-27,hyderabad,8,4,9,0,1,0.589,16.51660530412624,41.401981194351826,20276,97,11.1,4347.49
2024-09-27,hyderabad,9,4,9,0,1,0.647,26.806422784824083,40.759693750616165,23538,89,13.9,3933.99
2024-09-27,hyderabad,10,4,9,0,0,0.561,35.762419565208916,55.107471045219185,9098,45,29.2,1845.56
2024-09-27,hyderabad,11,4,9,0,0,0.589,38.42225631229814,87.26757572425294,7787,42,30.3,1744.95
2024-09-27,hyderabad,12,4,9,0,0,0.594,26.319461684416844,87.8678733468415,11558,41,30.6,2278.26
2024-09-27,hyderabad,13,4,9,0,0,0.838,17.054282132856425,86.49804907378285,11013,27,35.5,2169.52
2024-09-27,hyderabad,14,4,9,0,0,0.725,26.639840975737748,45.170732598490055,10287,59,24.4,1666.9
2024-09-27,hyderabad,15,4,9,0,0,0.845,33.90532081333431,53.66118365087783,7754,49,27.9,1870.81
2024-09-27,hyderabad,16,4,9,0,0,0.631,34.306800152787424,36.9257747489899,10680,26,35.9,1738.47
2024-09-27,hyderabad,17,4,9,0,0,0.978,16.69721747333422,60.345228892435586,8558,53,26.5,1364.06
2024-09-27,hyderabad,18,4,9,0,1,0.816,37.748497895409585,33.786205941668754,24228,84,15.6,5835.73
2024-09-27,hyderabad,19,4,9,0,1,0.976,28.480030321575548,85.1620939140615,24649,94,12.1,4064.09
2024-09-27,hyderabad,20,4,9,0,0,0.72,27.41420065674005,42.12941210466837,12158,39,31.4,2953.04
2024-09-27,hyderabad,21,4,9,0,0,0.607,25.610766256687224,80.94182889978137,7966,65,22.2,1903.59
2024-09-27,hyderabad,22,4,9,0,0,0.952,15.971308970323753,73.88485956647955,7259,32,33.8,1537.25
2024-09-27,hyderabad,23,4,9,0,0,0.991,24.881778607241834,77.52842169342334,8186,59,24.4,1572.62
2024-09-28,bangalore,0,5,9,1,0,0.677,36.37993269826323,43.801072965400294,9948,15,39.8,2270.1
2024-09-28,bangalore,1,5,9,1,0,0.619,34.52848893136756,62.97381745523347,11666,40,31.0,1780.71
2024-09-28,bangalore,2,5,9,1,0,0.635,33.896302156151464,53.89537456891948,11492,34,33.1,2262.15
2024-09-28,bangalore,3,5,9,1,0,0.973,35.04113581863575,77.00640951637759,11295,44,29.6,2317.46
2024-09-28,bangalore,4,5,9,1,0,0.666,26.268648775223376,65.22137882238846,10980,21,37.6,1972.79
2024-09-28,bangalore,5,5,9,1,0,0.736,36.07049047394899,53.52924915107552,10238,34,33.1,2314.0
2024-09-28,bangalore,6,5,9,1,0,0.736,39.053952984669905,38.01490652644705,8596,34,33.1,1418.78
2024-09-28,bangalore,7,5,9,1,1,0.947,28.951880452305723,39.06018679097905,10892,25,36.2,2082.47
2024-09-28,bangalore,8,5,9,1,1,0.77,24.855468492304524,39.39366452702086,6900,31,34.1,1220.42
2024-09-28,bangalore,9,5,9,1,1,0.729,16.549064237245325,79.90511373409016,6810,17,39.0,1435.1
2024-09-28,bangalore,10,5,9,1,0,0.808,16.727254618619952,80.28839565557874,10276,30,34.5,2316.78
2024-09-28,bangalore,11,5,9,1,0,0.55,38.59983942733756,61.59194761000397,9508,27,35.5,1962.24
2024-09-28,bangalore,12,5,9,1,0,0.767,29.722638311878562,34.12461962214323,12254,21,37.6,2920.33
2024-09-28,bangalore,13,5,9,1,0,0.985,22.115978251153077,86.9646813584587,7657,22,37.3,1264.48
2024-09-28,bangalore,14,5,9,1,0,0.97,15.936071855201654,81.07446790201335,8783,18,38.7,1987.96
2024-09-28,bangalore,15,5,9,1,0,0.54,32.934868607983134,81.2896156501878,11186,28,35.2,2026.75
2024-09-28,bangalore,16,5,9,1,0,0.697,19.137057139371198,58.128221838654774,7003,26,35.9,1130.61
2024-09-28,bangalore,17,5,9,1,1,0.615,33.69587921731801,31.237703197742654,10430,39,31.4,2184.82
2024-09-28,bangalore,18,5,9,1,1,0.615,17.696139968206964,58.246756269936526,6444,43,30.0,1116.34
2024-09-28,bangalore,19,5,9,1,1,0.778,20.20664788959382,64.8377998112409,12291,41,30.6,2171.14
2024-09-28,bangalore,20,5,9,1,0,0.735,38.10897443075724,75.70056008899388,11286,25,36.2,2247.75
2024-09-28,bangalore,21,5,9,1,0,0.551,28.99762531843201,42.32426507835236,9509,22,37.3,1558.96
2024-09-28,bangalore,22,5,9,1,0,0.851,17.87864008950223,72.69815816088013,8723,34,33.1,1640.11
2024-09-28,bangalore,23,5,9,1,0,0.855,17.89502054615359,85.19461758706338,9731,17,39.0,2255.07
2024-09-28,delhi,0,5,9,1,0,0.927,17.995409050291087,34.95113674520763,19720,26,35.9,3446.22
2024-09-28,delhi,1,5,9,1,0,0.519,23.891301900967456,86.42340599572213,15644,43,30.0,3481.74
2024-09-28,delhi,2,5,9,1,0,0.582,30.290143528762595,70.94800378458379,15182,31,34.1,3177.53
2024-09-28,delhi,3,5,9,1,0,0.594,33.83673959468217,54.718019442713036,18021,22,37.3,4378.81
2024-09-28,delhi,4,5,9,1,0,0.684,28.931465761737947,41.761396999565676,11958,44,29.6,2803.79
2024-09-28,delhi,5,5,9,1,0,0.852,24.391058336325944,53.34636688976067,15379,18,38.7,3613.54
2024-09-28,delhi,6,5,9,1,0,0.931,22.6921627414253,34.28230297962639,16851,18,38.7,3983.35
2024-09-28,delhi,7,5,9,1,0,0.715,26.461723897202663,53.35480774584403,20397,15,39.8,4855.95
2024-09-28,delhi,8,5,9,1,1,0.96,25.598700228312694,38.887589790734154,12617,43,30.0,2644.6
2024-09-28,delhi,9,5,9,1,1,0.645,38.31732717645744,33.17906307356275,10838,16,39.4,1688.08
2024-09-28,delhi,10,5,9,1,1,0.741,31.54142054745582,65.10958434478187,19976,43,30.0,3615.48
2024-09-28,delhi,11,5,9,1,0,0.887,34.57165804285461,73.48970005416291,17956,34,33.1,2925.43
2024-09-28,delhi,12,5,9,1,0,0.653,20.915690227970522,54.15731696059201,11177,22,37.3,1856.37
2024-09-28,delhi,13,5,9,1,0,0.997,26.033773830658888,88.41088039037002,12081,28,35.2,2020.98
2024-09-28,delhi,14,5,9,1,0,0.749,34.12510559028124,80.61738404808622,13740,39,31.4,2309.13
2024-09-28,delhi,15,5,9,1,0,0.915,38.433472558932415,50.40640488031508,18556,17,39.0,4015.01
2024-09-28,delhi,16,5,9,1,0,0.828,19.856263154871748,44.07761947952058,20282,26,35.9,4812.41
2024-09-28,delhi,17,5,9,1,1,0.609,29.89328164769794,44.37800213590083,12090,18,38.7,2109.39
2024-09-28,delhi,18,5,9,1,1,0.571,30.510258998595056,41.548150384498975,16720,33,33.5,3061.02
2024-09-28,delhi,19,5,9,1,1,0.857,24.156831931693908,52.30826146459963,14966,41,30.6,2541.0
2024-09-28,delhi,20,5,9,1,1,0.937,37.930532194827876,74.8097349053345,16369,43,30.0,3171.59
2024-09-28,delhi,21,5,9,1,0,0.931,23.920503020047335,68.74008015585284,11673,28,35.2,2297.56
2024-09-28,delhi,22,5,9,1,0,0.909,29.707103425282064,49.93655442637186,19710,41,30.6,3040.27
2024-09-28,delhi,23,5,9,1,0,0.594,25.76498315320582,32.36726692305986,13185,30,34.5,3115.25
2024-09-28,mumbai,0,5,9,1,0,0.586,39.54301387607299,80.84722758919713,10367,23,37.0,2091.81
2024-09-28,mumbai,1,5,9,1,0,0.727,33.10647342300887,43.77398479704516,13449,35,32.8,2354.16
2024-09-28,mumbai,2,5,9,1,0,0.634,26.0916009532488,83.19915183867701,13377,34,33.1,2431.23
2024-09-28,mumbai,3,5,9,1,0,0.872,35.49991836260257,58.73285372402141,10662,38,31.7,2218.34
2024-09-28,mumbai,4,5,9,1,0,0.797,32.94935545501177,84.25782997911227,10723,24,36.6,2407.86
2024-09-28,mumbai,5,5,9,1,0,0.804,27.374979716001352,54.88039580310022,12578,35,32.8,2598.85
2024-09-28,mumbai,6,5,9,1,0,0.623,38.99094634926964,52.500376536042474,17141,41,30.6,2812.58
2024-09-28,mumbai,7,5,9,1,0,0.885,23.014235876070956,45.80574368976697,9301,21,37.6,1919.36
2024-09-28,mumbai,8,5,9,1,1,0.896,18.750295652461098,43.72829509356744,16356,43,30.0,2979.99
2024-09-28,mumbai,9,5,9,1,1,0.744,25.393291646745038,67.77855991248884,10392,31,34.1,2491.99
2024-09-28,mumbai,10,5,9,1,1,0.942,19.680408411656025,44.54349113914344,12164,36,32.4,2134.18
2024-09-28,mumbai,11,5,9,1,0,0.826,30.983950138665836,30.469735625477416,15941,19,38.4,2994.37
2024-09-28,mumbai,12,5,9,1,0,0.962,32.526142923388086,68.02771833671716,9889,17,39.0,2033.21
2024-09-28,mumbai,13,5,9,1,0,0.866,28.38864152472031,75.82347743000219,8776,17,39.0,2135.93
2024-09-28,mumbai,14,5,9,1,0,0.605,36.434805845738495,70.58100646667259,10437,27,35.5,1941.05
2024-09-28,mumbai,15,5,9,1,0,0.568,16.029258178017297,65.30216365727242,9645,34,33.1,1562.76
2024-09-28,mumbai,16,5,9,1,0,0.552,36.763605950074066,60.44221263034204,10203,21,37.6,1915.15
2024-09-28,mumbai,17,5,9,1,0,0.532,21.103424187089264,60.57407220813301,15612,33,33.5,2567.2
2024-09-28,mumbai,18,5,9,1,1,0.885,31.180297675540363,37.23669148679027,12283,23,37.0,3018.12
2024-09-28,mumbai,19,5,9,1,1,0.829,30.230509153378993,78.39354227847339,13744,38,31.7,2727.81
2024-09-28,mumbai,20,5,9,1,1,0.566,16.299117440496467,79.69204984736709,10360,17,39.0,1650.42
2024-09-28,mumbai,21,5,9,1,1,0.826,33.8552104544157,37.53477935316367,9895,17,39.0,1737.6
2024-09-28,mumbai,22,5,9,1,0,0.503,36.3665779357396,65.90579576361931,16143,16,39.4,2705.34
2024-09-28,mumbai,23,5,9,1,0,0.739,25.013784608140796,65.38528589723055,13026,18,38.7,2396.99
2024-09-28,hyderabad,0,5,9,1,0,0.675,37.437946230550494,89.92952950305677,6119,35,32.8,1372.22
2024-09-28,hyderabad,1,5,9,1,0,0.899,19.093328434109317,85.19823482551345,6397,36,32.4,1476.08
2024-09-28,hyderabad,2,5,9,1,0,0.998,37.871648558223924,84.25586823849432,9210,17,39.0,1688.99
2024-09-28,hyderabad,3,5,9,1,0,0.776,20.716524453887846,88.24009866382809,5849,30,34.5,1019.08
2024-09-28,hyderabad,4,5,9,1,0,0.777,21.214890594656325,45.45174842659189,5930,19,38.4,1348.57
2024-09-28,hyderabad,5,5,9,1,0,0.953,22.660106941074577,30.24011237183281,8518,21,37.6,1771.18
2024-09-28,hyderabad,6,5,9,1,0,0.802,24.256545985200795,36.9086116597224,7456,31,34.1,1802.95
2024-09-28,hyderabad,7,5,9,1,0,0.552,20.579194118917897,39.510714827952356,5999,42,30.3,1135.63
2024-09-28,hyderabad,8,5,9,1,1,0.744,17.11959215451948,63.493687235941664,8782,44,29.6,1688.07
2024-09-28,hyderabad,9,5,9,1,1,0.549,33.70592014386051,33.96839701734539,5364,44,29.6,1150.97
2024-09-28,hyderabad,10,5,9,1,0,0.773,35.3715355309255,64.09910074006339,8240,32,33.8,1713.76
2024-09-28,hyderabad,11,5,9,1,0,0.843,25.093211450855314,84.82607719035613,6778,18,38.7,1128.76
2024-09-28,hyderabad,12,5,9,1,0,0.918,34.093642686987145,80.65926558282499,5674,32,33.8,1368.89
2024-09-28,hyderabad,13,5,9,1,0,0.774,19.498073836227338,73.59261634512026,6678,43,30.0,1519.69
2024-09-28,hyderabad,14,5,9,1,0,0.783,36.56777337658082,53.50816339264206,5608,41,30.6,1178.08
2024-09-28,hyderabad,15,5,9,1,0,0.996,16.574175812857263,78.97008780996629,5048,35,32.8,870.4
2024-09-28,hyderabad,16,5,9,1,0,0.648,35.20713088764209,64.41336238276146,8657,21,37.6,1967.9
2024-09-28,hyderabad,17,5,9,1,0,0.65,22.73690079788556,41.61926264041753,5317,17,39.0,912.51
2024-09-28,hyderabad,18,5,9,1,1,0.647,38.06160519950853,89.64329294555574,6827,26,35.9,1588.43
2024-09-28,hyderabad,19,5,9,1,1,0.734,24.22239569307891,33.637270886888416,8915,42,30.3,2182.04
2024-09-28,hyderabad,20,5,9,1,0,0.981,34.00673718327666,62.821131430123366,6872,29,34.9,1171.97
2024-09-28,hyderabad,21,5,9,1,0,0.867,22.239987364765284,51.228316943472954,7224,30,34.5,1468.27
2024-09-28,hyderabad,22,5,9,1,0,0.835,18.60443249680498,30.132334821312586,4882,35,32.8,1057.85
2024-09-28,hyderabad,23,5,9,1,0,0.892,21.268042702987927,65.2388089057427,9294,18,38.7,2159.45
2024-09-29,bangalore,0,6,9,1,0,0.9,39.32325601547228,50.537815077366275,11029,26,35.9,1813.2
2024-09-29,bangalore,1,6,9,1,0,0.862,22.808555153763507,73.91665007615809,8090,32,33.8,1304.51
2024-09-29,bangalore,2,6,9,1,0,0.8,21.966356342362907,67.17971606932862,10329,23,37.0,2206.57
2024-09-29,bangalore,3,6,9,1,0,0.956,17.177437533987444,86.84893539231194,10321,19,38.4,2154.24
2024-09-29,bangalore,4,6,9,1,0,0.868,24.873121555441045,78.14214648062068,6602,36,32.4,1429.95
2024-09-29,bangalore,5,6,9,1,0,0.716,21.988437228434183,51.969124073575784,7563,18,38.7,1292.7
2024-09-29,bangalore,6,6,9,1,0,0.627,33.0719020350972,64.78681516947881,8205,43,30.0,1518.08
2024-09-29,bangalore,7,6,9,1,1,0.744,31.94345190808618,55.836118130245424,11094,34,33.1,2542.86
2024-09-29,bangalore,8,6,9,1,1,0.795,28.796481683603595,35.3756087478228,10026,41,30.6,2474.6
2024-09-29,bangalore,9,6,9,1,1,0.846,21.71278455623161,49.38241677652909,8663,32,33.8,1880.08
2024-09-29,bangalore,10,6,9,1,0,0.771,28.798755238319856,75.21056427699544,8840,41,30.6,2008.45
2024-09-29,bangalore,11,6,9,1,0,0.639,24.946759985537245,41.74810364672494,12040,43,30.0,2966.21
2024-09-29,bangalore,12,6,9,1,0,0.828,28.882971439440574,39.40868878070792,12206,26,35.9,2371.92
2024-09-29,bangalore,13,6,9,1,0,0.895,17.00166461803219,77.62096235620633,7579,34,33.1,1446.35
2024-09-29,bangalore,14,6,9,1,0,0.598,17.2804650483643,72.09413945407786,9644,25,36.2,2288.18
2024-09-29,bangalore,15,6,9,1,0,0.996,27.551741499981848,79.76839623928228,8408,38,31.7,1909.53
2024-09-29,bangalore,16,6,9,1,0,0.676,32.14948301661251,32.58868490494739,6505,19,38.4,1270.49
2024-09-29,bangalore,17,6,9,1,1,0.773,19.657022763803973,40.767028129891244,11365,36,32.4,2251.62
2024-09-29,bangalore,18,6,9,1,1,0.667,24.331897197928136,42.401826559972775,12107,18,38.7,2273.21
2024-09-29,bangalore,19,6,9,1,1,0.556,37.10181284463343,43.37744910871242,7241,19,38.4,1427.16
2024-09-29,bangalore,20,6,9,1,0,0.538,16.296632646803197,72.97963068868951,8406,34,33.1,1655.26
2024-09-29,bangalore,21,6,9,1,0,0.862,22.91319824059639,40.907340987931946,11020,42,30.3,2177.88
2024-09-29,bangalore,22,6,9,1,0,0.528,37.20907445313385,76.48304550343053,8063,41,30.6,1800.54
2024-09-29,bangalore,23,6,9,1,0,0.668,28.75182168053024,63.9541049829846,10933,37,32.0,2083.74
2024-09-29,delhi,0,6,9,1,0,0.924,22.470365237686323,50.82926022574237,18343,23,37.0,3881.84
2024-09-29,delhi,1,6,9,1,0,0.74,39.382635983760494,35.79683916554883,12516,15,39.8,2572.83
2024-09-29,delhi,2,6,9,1,0,0.988,33.72649121087491,44.72525905083111,12227,30,34.5,2875.04
2024-09-29,delhi,3,6,9,1,0,0.882,33.26352192269658,68.3799604066086,13134,45,29.2,2726.8
2024-09-29,delhi,4,6,9,1,0,0.881,17.81653343362667,76.43099547134949,11633,38,31.7,2445.96
2024-09-29,delhi,5,6,9,1,0,0.719,18.51309279517131,37.555307944182836,13487,35,32.8,2641.05
2024-09-29,delhi,6,6,9,1,0,0.689,30.022351154775496,87.96680467847688,17738,27,35.5,3301.99
2024-09-29,delhi,7,6,9,1,0,0.654,27.33079736756173,61.123501431540376,14370,36,32.4,2357.16
2024-09-29,delhi,8,6,9,1,1,0.913,32.20601888503403,81.62508873055575,15293,42,30.3,2853.48
2024-09-29,delhi,9,6,9,1,1,0.92,17.323674292148773,33.501746801280326,13074,39,31.4,2371.47
2024-09-29,delhi,10,6,9,1,1,0.916,30.244191652487658,75.53746884899388,15019,43,30.0,3594.24
2024-09-29,delhi,11,6,9,1,0,0.742,23.986857154941422,84.34486394512545,16576,34,33.1,3875.02
2024-09-29,delhi,12,6,9,1,0,0.825,32.87642547557128,89.80797651617883,18879,17,39.0,4601.12
2024-09-29,delhi,13,6,9,1,0,0.71,36.291497447396885,34.83875502343602,10927,42,30.3,2588.35
2024-09-29,delhi,14,6,9,1,0,0.838,22.241393324923,49.359051969667895,17852,23,37.0,4320.74
2024-09-29,delhi,15,6,9,1,0,0.534,32.8775231654967,46.785328183242115,20447,19,38.4,4894.89
2024-09-29,delhi,16,6,9,1,0,0.655,25.73923794717335,48.018282201544636,12670,38,31.7,2317.38
2024-09-29,delhi,17,6,9,1,1,0.768,23.16210808001611,78.04704737588303,17035,19,38.4,4150.61
2024-09-29,delhi,18,6,9,1,1,0.818,25.37407996706304,72.08114200379026,14091,18,38.7,2199.12
2024-09-29,delhi,19,6,9,1,1,0.754,20.891313214657636,82.90749651800536,16795,26,35.9,4171.25
2024-09-29,delhi,20,6,9,1,1,0.702,30.286130386959925,34.40370716470465,19534,19,38.4,2999.54
2024-09-29,delhi,21,6,9,1,0,0.719,17.853739207980343,65.62774803105975,13870,45,29.2,3015.23
2024-09-29,delhi,22,6,9,1,0,0.781,30.489328585252025,40.87799224843499,15318,15,39.8,3197.31
2024-09-29,delhi,23,6,9,1,0,0.871,30.405376964208408,50.73714524675293,12730,33,33.5,2825.41
2024-09-29,mumbai,0,6,9,1,0,0.56,27.738356969663634,89.12186655200898,16908,43,30.0,3327.18
2024-09-29,mumbai,1,6,9,1,0,0.875,20.477526742815805,39.888637992888846,10883,33,33.5,2687.42
2024-09-29,mumbai,2,6,9,1,0,0.78,31.648049981107015,70.09104069287123,13431,34,33.1,2254.42
2024-09-29,mumbai,3,6,9,1,0,0.569,34.95628107015243,58.23039592290026,13688,47,28.6,2933.36
2024-09-29,mumbai,4,6,9,1,0,0.82,15.251932725003407,49.9039486905842,11528,33,33.5,1948.83
2024-09-29,mumbai,5,6,9,1,0,0.838,30.775754911561634,34.728728984271214,11832,45,29.2,2511.57
2024-09-29,mumbai,6,6,9,1,0,0.958,25.99450298629824,33.13147197420114,15746,19,38.4,2583.29
2024-09-29,mumbai,7,6,9,1,0,0.853,27.470767247193344,70.9297203178781,15872,29,34.9,3091.69
